Country,Beer_servings,Spirit_servings,Wine_servings,Total_alcohol,Average_temp
Albania,89.0,132.0,54.0,4.9,13.775416666666668
Andorra,245.0,138.0,312.0,12.4,11.480833333333337
Angola,217.0,57.0,45.0,5.9,22.6815
Antigua & Barbuda,102.0,128.0,45.0,4.9,27.73541666666667
Argentina,193.0,25.0,221.0,8.3,15.078833333333336
Armenia,21.0,179.0,11.0,3.8,11.5095
Australia,261.0,72.0,212.0,10.4,22.078166666666664
Austria,279.0,75.0,191.0,9.7,6.649083333333334
Azerbaijan,21.0,46.0,5.0,1.3,13.962666666666667
Bahamas,122.0,176.0,51.0,6.3,25.22916666666667
Bahrain,42.0,63.0,7.0,2.0,28.069666666666667
Barbados,143.0,173.0,36.0,6.3,27.84466666666667
Belarus,142.0,373.0,42.0,14.4,7.037250000000001
Belgium,295.0,84.0,212.0,10.5,9.36175
Belize,263.0,114.0,8.0,6.8,25.50233333333333
Benin,34.0,4.0,13.0,1.1,28.325583333333334
Bolivia,167.0,41.0,8.0,3.8,21.446416666666664
Bosnia & Herzegovina,76.0,173.0,8.0,4.6,11.271416666666669
Botswana,173.0,35.0,35.0,5.4,22.730166666666666
Brazil,245.0,145.0,16.0,7.2,25.812416666666667
Bulgaria,231.0,252.0,94.0,10.3,11.766333333333334
Burkina Faso,25.0,7.0,7.0,4.3,29.28875
Cote D'Ivoire,37.0,1.0,7.0,4.0,27.14658333333333
Cabo Verde,144.0,56.0,16.0,4.0,25.83241666666667
Cambodia,57.0,65.0,1.0,2.2,27.875249999999998
Cameroon,147.0,1.0,4.0,5.8,25.46475
Canada,240.0,122.0,100.0,8.2,-1.8879166666666665
Central African Republic,17.0,2.0,1.0,1.8,26.329833333333337
Chad,15.0,1.0,1.0,0.4,28.6965
Chile,130.0,124.0,172.0,7.6,9.712833333333334
China,79.0,192.0,8.0,5.0,7.548416666666665
Colombia,159.0,76.0,3.0,4.2,25.68766666666667
Comoros,1.0,3.0,1.0,0.1,26.78683333333333
Congo,76.0,1.0,9.0,1.7,25.559416666666664
Costa Rica,149.0,87.0,11.0,4.4,26.22675
Croatia,230.0,87.0,254.0,10.2,11.960833333333332
Cuba,93.0,137.0,5.0,4.2,25.627333333333336
Cyprus,192.0,154.0,113.0,8.2,20.952
Czech Republic,361.0,170.0,134.0,11.8,7.75225
Congo,32.0,3.0,1.0,2.3,24.758916666666664
Denmark,224.0,81.0,278.0,10.4,-15.08575
Djibouti,15.0,44.0,3.0,1.1,29.837
Dominica,52.0,286.0,26.0,6.6,27.486833333333337
Dominican Republic,193.0,147.0,9.0,6.2,26.455583333333333
Ecuador,162.0,74.0,3.0,4.2,22.639916666666668
Egypt,6.0,4.0,1.0,0.2,25.15191666666667
El Salvador,52.0,69.0,2.0,2.2,25.45866666666667
Estonia,224.0,194.0,59.0,9.5,5.042999999999999
Fiji,77.0,35.0,1.0,2.0,25.9185
Finland,263.0,133.0,97.0,10.0,1.1437500000000005
France,127.0,151.0,370.0,11.8,13.115416666666668
Gabon,347.0,98.0,59.0,8.9,25.221
Georgia,52.0,100.0,149.0,5.4,11.102416666666665
Germany,346.0,117.0,175.0,11.3,8.008999999999999
Ghana,31.0,3.0,10.0,1.8,27.935
Greece,133.0,112.0,218.0,8.3,16.371250000000003
Grenada,199.0,438.0,28.0,11.9,28.108916666666676
Guatemala,53.0,69.0,2.0,2.2,23.687583333333333
Guyana,93.0,302.0,1.0,7.1,27.116083333333336
Haiti,1.0,326.0,1.0,5.9,27.002333333333336
Honduras,69.0,98.0,2.0,3.0,25.24566666666667
Hungary,234.0,215.0,185.0,11.3,10.347833333333332
Iceland,233.0,61.0,78.0,6.6,2.6764166666666664
Ireland,313.0,118.0,165.0,11.4,9.258166666666666
Israel,63.0,69.0,9.0,2.5,22.311166666666665
Italy,85.0,42.0,237.0,6.5,13.324916666666669
Jamaica,82.0,97.0,9.0,3.4,26.52125
Japan,77.0,202.0,16.0,7.0,13.215583333333331
Jordan,6.0,21.0,1.0,0.5,22.228
Kazakhstan,124.0,246.0,12.0,6.8,6.710000000000001
Kenya,58.0,22.0,2.0,1.8,24.96125
Kiribati,21.0,34.0,1.0,1.0,27.531666666666663
Kyrgyzstan,31.0,97.0,6.0,2.4,4.595750000000001
Latvia,281.0,216.0,62.0,10.5,5.711083333333334
Lebanon,20.0,55.0,31.0,1.9,20.268833333333333
Liberia,19.0,152.0,2.0,3.1,26.532750000000004
Lithuania,343.0,244.0,56.0,12.9,6.325833333333335
Luxembourg,236.0,133.0,271.0,11.4,9.134666666666666
Madagascar,26.0,15.0,4.0,0.8,23.846166666666665
Malawi,8.0,11.0,1.0,1.5,22.60066666666667
Mali,5.0,1.0,1.0,0.6,30.12708333333333
Malta,149.0,100.0,120.0,6.6,19.664416666666668
Mauritius,98.0,31.0,18.0,2.6,24.669083333333337
Mexico,238.0,68.0,5.0,5.5,20.852916666666665
Mongolia,77.0,189.0,8.0,4.9,-0.3186666666666664
Montenegro,31.0,114.0,128.0,4.9,11.244416666666666
Morocco,12.0,6.0,10.0,0.5,19.43500000000001
Mozambique,47.0,18.0,5.0,1.3,24.60575
Namibia,376.0,3.0,1.0,6.8,21.39225
Netherlands,251.0,88.0,190.0,9.4,9.264583333333336
New Zealand,203.0,79.0,175.0,9.3,11.33575
Nicaragua,78.0,118.0,1.0,3.5,26.618916666666664
Niger,3.0,2.0,1.0,0.1,29.299916666666665
Nigeria,42.0,5.0,2.0,9.1,28.004250000000003
Niue,188.0,200.0,7.0,7.0,26.011750000000003
Norway,169.0,71.0,129.0,6.7,-0.2155000000000003
Oman,22.0,16.0,1.0,0.7,28.45866666666667
Palau,306.0,63.0,23.0,6.9,27.767750000000003
Panama,285.0,104.0,18.0,7.2,27.02916666666667
Papua New Guinea,44.0,39.0,1.0,1.5,25.342
Paraguay,213.0,117.0,74.0,7.3,23.615416666666672
Peru,163.0,160.0,21.0,6.1,20.5845
Philippines,71.0,186.0,1.0,4.6,27.3565
Poland,343.0,215.0,56.0,10.9,7.621416666666665
Portugal,194.0,67.0,339.0,11.0,15.68425
Qatar,1.0,42.0,7.0,0.9,28.88958333333333
South Korea,140.0,16.0,9.0,9.8,12.63975
Moldova,109.0,226.0,18.0,6.3,10.225666666666667
Romania,297.0,122.0,167.0,10.4,9.851666666666668
Russia,247.0,326.0,73.0,11.5,-4.520583333333335
Samoa,105.0,18.0,24.0,2.6,27.16166666666666
Sao Tome & Principe,56.0,38.0,140.0,4.2,26.766500000000004
Senegal,9.0,1.0,7.0,0.3,29.302333333333337
Serbia,283.0,131.0,127.0,9.6,10.9925
Seychelles,157.0,25.0,51.0,4.1,27.74483333333333
Sierra Leone,25.0,3.0,2.0,6.7,27.177166666666675
Singapore,60.0,12.0,11.0,1.5,27.6035
Slovakia,196.0,293.0,116.0,11.4,8.073
Slovenia,270.0,51.0,276.0,10.6,10.194
Solomon Islands,56.0,11.0,1.0,1.2,27.586250000000003
South Africa,225.0,76.0,81.0,8.2,18.302666666666667
Spain,284.0,157.0,112.0,10.0,14.246000000000002
Suriname,128.0,178.0,7.0,5.6,27.41258333333333
Swaziland,90.0,2.0,2.0,4.7,19.75633333333333
Sweden,152.0,60.0,186.0,7.2,1.6585
Switzerland,185.0,100.0,280.0,10.2,7.2265000000000015
Syria,5.0,35.0,16.0,1.0,20.709333333333333
Thailand,99.0,258.0,1.0,6.4,27.389666666666667
Macedonia,106.0,27.0,86.0,3.9,11.741
Timor Leste,1.0,1.0,4.0,0.1,26.79225
Togo,36.0,2.0,19.0,1.3,28.059416666666664
Tonga,36.0,21.0,5.0,1.1,24.11441666666667
Trinidad & Tobago,197.0,156.0,7.0,6.4,27.546333333333333
Tunisia,51.0,3.0,20.0,1.3,21.60975
Turkey,51.0,22.0,7.0,1.4,14.281666666666666
Turkmenistan,19.0,71.0,32.0,2.2,17.043833333333332
Ukraine,206.0,237.0,45.0,8.9,9.453
United Arab Emirates,16.0,135.0,5.0,2.8,29.671333333333337
United Kingdom,219.0,126.0,195.0,10.4,8.394333333333334
Tanzania,36.0,6.0,1.0,5.7,23.26766666666667
United States,249.0,158.0,84.0,8.7,9.505583333333334
Uruguay,115.0,35.0,220.0,6.6,17.92008333333333
Uzbekistan,25.0,101.0,8.0,2.4,14.325916666666666
Venezuela,333.0,100.0,3.0,7.7,26.15025
Vietnam,111.0,2.0,1.0,2.0,24.83333333333333
Zambia,32.0,19.0,4.0,2.5,22.2675
Zimbabwe,64.0,18.0,4.0,4.7,21.98625
